Detector Name,Descriptor Name,camera-based estimated TTC(s)
SHITOMASI,BRISK, -1.21044
SHITOMASI,BRISK, -0.213227
SHITOMASI,BRISK, -1.06209
SHITOMASI,BRISK, -17.5952
SHITOMASI,BRISK, -0.258913
SHITOMASI,BRISK, 31.98
SHITOMASI,BRISK, 10.3224
SHITOMASI,BRISK, -0.236421
SHITOMASI,BRISK, -0.140735
SHITOMASI,BRISK, -0.163526
SHITOMASI,BRISK, 6.97126
SHITOMASI,BRISK, -0.172581
SHITOMASI,BRISK, 11.7776
SHITOMASI,BRISK, -0.270549
SHITOMASI,BRISK, -0.211575
SHITOMASI,BRISK, -0.146514
SHITOMASI,BRISK, 5.35991
SHITOMASI,BRISK, -1.71883
,,
SHITOMASI,BRIEF, nan
SHITOMASI,BRIEF, 13.1582
SHITOMASI,BRIEF, -0.951527
SHITOMASI,BRIEF, 55.2072
SHITOMASI,BRIEF, 15.0109
SHITOMASI,BRIEF, 13.3644
SHITOMASI,BRIEF, 12.8651
SHITOMASI,BRIEF, 14.3099
SHITOMASI,BRIEF, -0.158725
SHITOMASI,BRIEF, -inf
SHITOMASI,BRIEF, 10.6836
SHITOMASI,BRIEF, 11.2212
SHITOMASI,BRIEF, 12.3921
SHITOMASI,BRIEF, 26.2109
SHITOMASI,BRIEF, -0.191844
SHITOMASI,BRIEF, 8.13812
SHITOMASI,BRIEF, 8.07264
SHITOMASI,BRIEF, nan
,,
SHITOMASI,ORB, 13.7771
SHITOMASI,ORB, 12.4861
SHITOMASI,ORB, 7.74356
SHITOMASI,ORB, 19.3944
SHITOMASI,ORB, 7.29876
SHITOMASI,ORB, 11.6127
SHITOMASI,ORB, 10.1789
SHITOMASI,ORB, 14.5335
SHITOMASI,ORB, 0.200838
SHITOMASI,ORB, -0.14782
SHITOMASI,ORB, 9.33468
SHITOMASI,ORB, 11.2663
SHITOMASI,ORB, 12.5405
SHITOMASI,ORB, -0.440203
SHITOMASI,ORB, -0.132198
SHITOMASI,ORB, -2.16998
SHITOMASI,ORB, 7.03675
SHITOMASI,ORB, nan
,,
SHITOMASI,FREAK, -0.140631
SHITOMASI,FREAK, 13.3433
SHITOMASI,FREAK, -0.280434
SHITOMASI,FREAK, 17.1866
SHITOMASI,FREAK, 9.40735
SHITOMASI,FREAK, 13.7957
SHITOMASI,FREAK, 9.80742
SHITOMASI,FREAK, -0.531641
SHITOMASI,FREAK, -0.161193
SHITOMASI,FREAK, -inf
SHITOMASI,FREAK, 11.2435
SHITOMASI,FREAK, -0.163057
SHITOMASI,FREAK, 12.8179
SHITOMASI,FREAK, -0.360268
SHITOMASI,FREAK, -0.178017
SHITOMASI,FREAK, -1.66533
SHITOMASI,FREAK, 6.22193
SHITOMASI,FREAK, -0.404047
,,
SHITOMASI,SIFT, 13.7037
SHITOMASI,SIFT, 11.0145
SHITOMASI,SIFT, 11.3475
SHITOMASI,SIFT, 11.9969
SHITOMASI,SIFT, 17.3402
SHITOMASI,SIFT, 275.447
SHITOMASI,SIFT, 12.0019
SHITOMASI,SIFT, 29.81
SHITOMASI,SIFT, 0.0907746
SHITOMASI,SIFT, nan
SHITOMASI,SIFT, 11.0849
SHITOMASI,SIFT, 11.2992
SHITOMASI,SIFT, 12.3921
SHITOMASI,SIFT, 16.2153
SHITOMASI,SIFT, 10.8623
SHITOMASI,SIFT, 6.99145
SHITOMASI,SIFT, 7.75757
SHITOMASI,SIFT, nan
,,
HARRIS,BRISK, nan
HARRIS,BRISK, nan
HARRIS,BRISK, -0.19865
HARRIS,BRISK, nan
HARRIS,BRISK, 0.347251
HARRIS,BRISK, 25.9869
HARRIS,BRISK, -0.332508
HARRIS,BRISK, 0.492174
HARRIS,BRISK, 9.47667
HARRIS,BRISK, nan
HARRIS,BRISK, nan
HARRIS,BRISK, nan
HARRIS,BRISK, nan
HARRIS,BRISK, nan
HARRIS,BRISK, nan
HARRIS,BRISK, nan
HARRIS,BRISK, nan
HARRIS,BRISK, nan
,,
HARRIS,BRIEF, nan
HARRIS,BRIEF, 10.9746
HARRIS,BRIEF, -0.125099
HARRIS,BRIEF, nan
HARRIS,BRIEF, 81.5731
HARRIS,BRIEF, 25.9869
HARRIS,BRIEF, nan
HARRIS,BRIEF, nan
HARRIS,BRIEF, nan
HARRIS,BRIEF, nan
HARRIS,BRIEF, nan
HARRIS,BRIEF, nan
HARRIS,BRIEF, nan
HARRIS,BRIEF, nan
HARRIS,BRIEF, nan
HARRIS,BRIEF, nan
HARRIS,BRIEF, nan
HARRIS,BRIEF, nan
,,
HARRIS,ORB, nan
HARRIS,ORB, nan
HARRIS,ORB, nan
HARRIS,ORB, nan
HARRIS,ORB, nan
HARRIS,ORB, 0.30047
HARRIS,ORB, nan
HARRIS,ORB, -41.0727
HARRIS,ORB, 9.47667
HARRIS,ORB, nan
HARRIS,ORB, nan
HARRIS,ORB, nan
HARRIS,ORB, nan
HARRIS,ORB, nan
HARRIS,ORB, nan
HARRIS,ORB, nan
HARRIS,ORB, 11.0839
HARRIS,ORB, nan
,,
HARRIS,FREAK, nan
HARRIS,FREAK, 13.7182
HARRIS,FREAK, -0.236365
HARRIS,FREAK, nan
