Frame No., xmin(m), estimated TTC(s),  Lidar-based TTC(s) (5 points), Lidar-based TTC(s) (1 points), lidar outliners (recognized from topview)
0, 7.97, 
1, 7.91, 13.183, 13.327, 12.972, N
2, 7.85, 13.083, 11.967, 12.264, N
3, 7.79, 12.983, 16.462, 13.916, N
4, 7.68, 6.981, 10.952, 7.116, N     
5, 7.64, 19.1, 13.140, 16.250, N
6, 7.58, 12.633, 8.047, 12.421, N
7, 7.55, 25.167, 37.424, 34.340, N
8, 7.47, 9.338, 15.265, 9.344, N
9, 7.43, 18.575, 15.613, 18.132, N
10, 7.39, 18.475, 14.707, 18.032, N
11, 7.20, 3.790, 7.887, 3.832, Y
12, 7.27, -10.386, 16.022, -10.854, N
13, 7.19, 8.9875, 9.154, 9.223, N
14, 7.13, 11.883, 11.395, 10.968, N
15, 7.04, 7.822, 7.987, 8.094, N
16, 6.83, 3.252, 6.546, 3.175, Y
17, 6.90, -9.857, 16.500, -9.994, N
18, 6.81, 7.567, 8.457, 8.310, N
